20230803 20.0000 1.3000 7.1770E+01
20230803 21.0000 1.3000 7.5370E+01
20230803 21.0000 0.9000 5.7348E+01
20230803 30.0000 1.2000 1.1370E+02
20230803 22.0000 0.9000 6.1560E+01
20230803 20.0000 0.9000 5.3371E+01
20230803 24.0000 0.9000 7.0689E+01
20230803 30.0000 0.9000 1.0370E+02
20230803 26.0000 0.9000 8.0757E+01
20230803 28.0000 0.9000 9.1763E+01
20230803 27.0000 0.9000 8.6143E+01
20230803 29.0000 0.9000 9.7617E+01
20230803 23.0000 0.9000 6.6007E+01
20230803 25.0000 0.9000 7.5606E+01
20230803 28.0000 1.0000 9.4653E+01
20230803 27.0000 1.1000 9.2741E+01
20230803 21.0000 1.1000 6.5088E+01
20230803 23.0000 1.1000 7.3366E+01
20230803 26.0000 1.0000 8.3838E+01
20230803 25.0000 1.1000 8.2585E+01
20230803 30.0000 1.0000 1.0640E+02
20230803 22.0000 1.0000 6.5022E+01
20230803 20.0000 1.0000 5.7024E+01
20230803 29.0000 1.1000 1.0383E+02
20230803 28.0000 1.2000 1.0233E+02
20230803 22.0000 1.2000 7.3833E+01
20230803 24.0000 1.2000 8.2393E+01
20230803 20.0000 1.2000 6.6212E+01
20230803 24.0000 1.0000 7.3961E+01
20230803 26.0000 1.2000 9.1892E+01
20230803 23.0000 1.2000 7.7996E+01
20230803 25.0000 1.0000 7.8782E+01
20230803 27.0000 1.0000 8.9128E+01
20230803 28.0000 1.1000 9.8170E+01
20230803 24.0000 1.1000 7.7858E+01
20230803 29.0000 1.0000 1.0041E+02
20230803 26.0000 1.1000 8.7546E+01
20230803 21.0000 1.0000 6.0906E+01
20230803 20.0000 1.1000 6.1301E+01
20230803 23.0000 1.0000 6.9374E+01
20230803 30.0000 1.1000 1.0973E+02
20230803 21.0000 1.2000 6.9905E+01
20230803 22.0000 1.1000 6.9110E+01
20230803 25.0000 1.2000 8.7025E+01
20230803 27.0000 1.2000 9.6993E+01
20230803 29.0000 1.2000 1.0790E+02
20230803 22.0000 1.3000 7.9205E+01
